Mont-Royal,12,MR
Saint-Léonard,6,LN
Plateau-Mont-Royal,15,PM
Le Sud-Ouest,14,SO
Saint-Laurent,7,LR
Beaconsfield,25,BF
Outremont,23,OM
Côte-des-Neiges-Notre-Dame-de-Grâce,20,CN
L'Île-Bizard-Sainte-Geneviève,24,IS
Dorval,1,DV
Pointe-Claire,33,PC
Montréal-Ouest,30,MO
Montréal-Nord,8,MN
Lachine,9,LC
Mercier-Hochelaga-Maisonneuve,16,MH
Ville-Marie,13,VM
Westmount,22,WM
LaSalle,10,LS
Ahuntsic-Cartierville,17,AC
Rivière-des-Prairies-Pointe-aux-Trembles,11,RP
Montréal-Est,29,ME
Kirkland,21,KL
Villeray-Saint-Michel-Parc-Extension,19,VS
Baie-d'Urfé,26,BU
Senneville,32,SV
L'Île-Dorval,28,ID
Pierrefonds-Roxboro,5,PR
Sainte-Anne-de-Bellevue,31,BV
Rosemont-La Petite-Patrie,18,RO
Côte-Saint-Luc,27,CL
Verdun,4,VD
Hampstead,2,HS
Dollard-Des Ormeaux,3,DO
Anjou,34,AJ
